created_at,text
2022-11-11 23:05:36,"die Menschen zu treffen, die dieses Netzwerk ausmachen, ein gelungener Freitagabend! Auf die nächsten 125 Jahre… 😃… https://t.co/tvGs0sb9Pf"
2022-11-11 23:05:35,"eine wirklich beeindruckende Geschichte, und ein Spiegelbild der jeweiligen Verhältnisse. Freundschaften mit Künstl… https://t.co/mmOm6JDeaa"
2022-11-11 23:05:33,125 Jahre Bildgießerei Hermann Noack. Das muss zünftig gefeiert werden. 125 Jahre Berliner Kunstgeschichte - und ke… https://t.co/jMKeTztubw
2022-11-11 18:39:44,"Entstanden ist eine “Festschrift”, künstlerische Widmungen und Essays, die Nele Hertling würdigt. Es war mir eine F… https://t.co/3wMuL5T7Uq"
2022-11-11 18:39:43,"“Ins Offene. Nele Hertling - Neue Räume für die Kunst”, dieses Buch zum künstlerischen Schaffen Nele Hertlings, her… https://t.co/uH7Wb6Zr3A"
2022-11-11 14:55:42,RT @LinkePankow: Vielen Dank Dominique Krössin! Aufgrund deines unermüdlichen Einsatzes werden die unmöglichen Zustände im Gymnasium am #Eu…
2022-11-11 09:37:52,Der @TspBerlin hat mich gefragt und ich habe geantwortet. 😉🎈 https://t.co/ol1yLPUwKV
2022-11-10 09:36:52,Das #KleineGroszMuseum in der Berliner Bülowstraße befasst sich mit dem Aufenthalt #GeorgeGrosz’ in der Sowjetunion… https://t.co/6Xoe6fubO4
2022-11-09 20:30:09,"- die Verteidigung des Existenzrechts eines souveränen Staates eingeschlossen, der verfolgte oder vor Verfolgung be… https://t.co/EeJ30Vvvtz"
2022-11-09 20:30:09,der Volksgemeinschaft zu widerstehen und der antisemitischen Weltanschauung mit dem Imperativ des unbedingten Schut… https://t.co/m2xiY04buP
2022-11-09 20:30:08,"Ich bin dankbar, heute erneut dort sprechen und anschließend an der stillen Demonstration durch den Kiez teilnehmen… https://t.co/D9yihkbg36"
2022-11-09 20:30:08,"Terror ausgesetzt waren. Das war der Vorbote der Shoa, des Massenmordes an den europäischen Juden.
Die Gemeinde der… https://t.co/AxLNl8aRCK"
2022-11-09 20:30:07,"Im Scheunenviertel lebten viele jüdische Berlinerinnen und Berliner, die nach Entrechtung und Ausgrenzung in der Na… https://t.co/84OOJ37oRe"
2022-11-09 10:45:56,"dass es ihnen jedes Jahr aufs Neue gelingt, das Erinnern nicht im Ritual erstarren zu lassen, sondern aktuelle Bezü… https://t.co/HrgmSRGVR4"
2022-11-09 10:45:56,"und sozialen Ungerechtigkeiten spitzen Konflikte zu, Grund- und Menschenrechte sind unter Druck. Deshalb sind Hoffn… https://t.co/VovO2RlDRA"
2022-11-09 10:45:55,"friedlichen Verhältnissen, aber wir wissen auch: das Vermächtnis von 1989/90 ist heute mehr denn je gefährdet, auto… https://t.co/UXMQA8gVjz"
2022-11-09 10:45:55,Am 9. November 1989 wurde die Mauer zum Einsturz gebracht. Verbunden mit großer Hoffnung auf den weltweiten Fortsch… https://t.co/esxLHHs9MU
2022-11-09 07:53:19,"„Es ist geschehen, und folglich kann es wieder geschehen.“ 
Primo Levi

#niemalsvergessen https://t.co/Ah8cvQgRPX"
2022-11-07 22:26:40,lange nicht gesehenes Freund*innen - im Anschluss. Das war wirklich ein sehr schöner Abend! Und danke an Pride art… https://t.co/3Xsn3hOmz4
2022-11-07 22:26:38,Terminübernahme “von oben”. Aber aller guten Dinge sind drei - und ich habe mich nicht nur über Jack Woodheads Musi… https://t.co/unuaqZ70vj
2022-11-07 22:26:36,"Na, das war ja mal eine sehr schöne Überraschung! Eingeladen war ich von @nhaerting in seine Kanzlei zu einem Gespr… https://t.co/DbdFgmwc06"
2022-11-05 09:16:36,Vorher habe ich mich aber noch den Fragen der Kinderreporterin Emily gestellt. 🔎 Das Interview ist hier zu finden: https://t.co/JYQTwYeNO1
2022-11-05 08:34:29,Auch in diesem Jahr habe ich mich an den großartigen Berliner Märchentagen beteiligt. Für die 33. Ausgabe habe ich… https://t.co/64mxcNGiYu
2022-11-04 16:11:50,"RT @dielinkeberlin: Ab heute startet das »Netzwerk der Wärme«. Initiiert und organisiert von @katjakipping schafft es Räume der Begegnung,…"
2022-11-03 09:44:59,"RT @dielinkeberlin: .@klauslederer ""Wichtig für alle Menschen,..., ist, dass das Leben in unserer Stadt bezahlbar bleibt. Kunstschaffende s…"
2022-11-02 17:37:16,"RT @dielinkeberlin: #Entlastungspaket für Berlin: Wir stärken die Infrastruktur und lassen niemanden zurück.
💡Härtefallfonds gegen Strom- o…"
2022-11-02 16:04:57,"Im Interview mit dem @BerlAbendblatt erkläre ich, warum ich sehr gerne die Schirmherrschaft für diese Aktion überno… https://t.co/KQFzUHA1cd"
2022-11-02 16:04:56,Das @BerlAbendblatt &amp; der @BerlinRundfunk bringen Kunst unter die Leute: Die Aktion #KunstFürAlle will vielen Berli… https://t.co/lnQmzaWBp0
